,,0
LBGI,child#001,0.0
LBGI,child#002,0.0
LBGI,child#003,0.0
LBGI,child#004,0.0
LBGI,child#005,0.0
LBGI,child#006,0.0
LBGI,child#007,0.0
LBGI,child#008,0.0
LBGI,child#009,0.0
LBGI,child#010,0.0
HBGI,child#001,1.798411900143802
HBGI,child#002,2.05067235120519
HBGI,child#003,1.0482688789017054
HBGI,child#004,1.0378692846188817
HBGI,child#005,1.4392360871436547
HBGI,child#006,1.888681600219619
HBGI,child#007,1.0096309889132065
HBGI,child#008,3.063133136884029
HBGI,child#009,5.299588929351376
HBGI,child#010,1.2926093975099895
Risk Index,child#001,1.798411900143802
Risk Index,child#002,2.05067235120519
Risk Index,child#003,1.0482688789017054
Risk Index,child#004,1.0378692846188817
Risk Index,child#005,1.4392360871436547
Risk Index,child#006,1.888681600219619
Risk Index,child#007,1.0096309889132065
Risk Index,child#008,3.063133136884029
Risk Index,child#009,5.299588929351376
Risk Index,child#010,1.2926093975099895
